customer_id,customer_name,city,state,customer_segment,signup_date
C0083,Manthan Banik,Ahmedabad,Gujarat,Regular,2026-05-23
C0084,Manbir Sani,Mumbai,Maharashtra,Regular,2024-11-19
C0085,Darika Patla,Delhi,Delhi,Regular,2026-07-12
C0086,Ishita Kade,Delhi,Delhi,New,2026-01-24
C0087,Harshil Pandya,Kochi,Kerala,Premium,2026-04-10
C0088,Mohammed Khalsa,Kochi,Kerala,Regular,2026-06-15
C0089,Peter Sachar,Delhi,Delhi,Regular,2024-09-01
C0090,Gaurangi Sabharwal,Mysuru,Karnataka,Premium,2026-04-28
C0091,Amara Dutta,Ahmedabad,Gujarat,Regular,2026-04-16
C0092,Lavanya Barad,Bengaluru,Karnataka,New,2026-06-10
C0093,Tristan Iyengar,Delhi,Delhi,Regular,2026-05-09
C0094,Inaya Mody,Kolkata,West Bengal,New,2026-05-12
C0095,Udant Bajwa,Mysuru,Karnataka,Premium,2026-01-07
C0096,Mohini Narasimhan,Mysuru,Karnataka,New,2025-03-17
C0097,Arya Panchal,Mumbai,Maharashtra,New,2025-12-24
C0098,Garima Bala,Kolkata,West Bengal,Regular,2024-11-10
C0099,Pranav Lanka,Bengaluru,Karnataka,Premium,2024-09-11
C0100,Radha Pai,Bengaluru,Karnataka,Premium,2026-03-01
